2013-10-22 14:25:39,654 INFO  [org.jboss.ejb3.JmxKernelAbstraction] creating wrapper delegate for: org.jboss.ejb3.stateless.StatelessContainer
2013-10-22 14:25:39,654 INFO  [org.jboss.ejb3.JmxKernelAbstraction] installing MBean: jboss.j2ee:ear=connector-pge-ear.ear,jar=connector-pge-ejb.jar,name=GlobalConfigurationManagerSession,service=EJB3 with dependencies:
2013-10-22 14:25:39,654 INFO  [org.jboss.ejb3.JmxKernelAbstraction] 	persistence.units:ear=connector-pge-ear.ear,jar=connector-pge-ejb.jar,unitName=connector-pge
2013-10-22 14:25:39,682 INFO  [org.jboss.ejb3.EJBContainer] STARTED EJB: uy.gub.agesic.connector.session.GlobalConfigurationManagerSession ejbName: GlobalConfigurationManagerSession
2013-10-22 14:25:39,724 INFO  [org.jboss.ejb3.EJBContainer] STARTED EJB: uy.gub.agesic.connector.session.ConnectorManagerSession ejbName: ConnectorManagerSession
2013-10-22 15:34:34,975 INFO  [org.jboss.ejb3.EJBContainer] STOPPED EJB: uy.gub.agesic.connector.session.ConnectorManagerSession ejbName: ConnectorManagerSession
2013-10-22 15:34:35,029 WARN  [org.jboss.ejb3.JmxKernelAbstraction] jboss.j2ee:ear=connector-pge-ear.ear,jar=connector-pge-ejb.jar,name=ConnectorManagerSession,service=EJB3 is not registered
2013-10-22 15:34:35,030 INFO  [org.jboss.ejb3.EJBContainer] STOPPED EJB: uy.gub.agesic.connector.session.GlobalConfigurationManagerSession ejbName: GlobalConfigurationManagerSession
2013-10-22 15:34:35,031 WARN  [org.jboss.ejb3.JmxKernelAbstraction] jboss.j2ee:ear=connector-pge-ear.ear,jar=connector-pge-ejb.jar,name=GlobalConfigurationManagerSession,service=EJB3 is not registered
2013-10-22 15:34:35,031 INFO  [org.jboss.ejb3.entity.PersistenceUnitDeployment] Stopping persistence unit persistence.units:ear=connector-pge-ear.ear,jar=connector-pge-ejb.jar,unitName=connector-pge
2013-10-22 15:34:35,031 INFO  [org.hibernate.impl.SessionFactoryImpl] closing
2013-10-22 15:34:35,031 INFO  [org.hibernate.impl.SessionFactoryObjectFactory] Unbinding factory from JNDI name: persistence.units:ear=connector-pge-ear.ear,jar=connector-pge-ejb.jar,unitName=connector-pge
2013-10-22 15:34:35,031 INFO  [org.hibernate.util.NamingHelper] JNDI InitialContext properties:{java.naming.factory.initial=org.jnp.interfaces.NamingContextFactory, java.naming.factory.url.pkgs=org.jboss.naming:org.jnp.interfaces}
2013-10-22 15:34:35,031 INFO  [org.hibernate.impl.SessionFactoryObjectFactory] Unbound factory from JNDI name: persistence.units:ear=connector-pge-ear.ear,jar=connector-pge-ejb.jar,unitName=connector-pge
2013-10-22 15:34:35,031 WARN  [org.jboss.ejb3.JmxKernelAbstraction] persistence.units:ear=connector-pge-ear.ear,jar=connector-pge-ejb.jar,unitName=connector-pge is not registered
